TD Error Mean: 0.0567, TD Error Std: 0.0309, Q1 Loss: 0.0026, Q2 Loss: 0.0007, Policy Loss: -5.2429, Log Prob Mean: -5.2915, Log Prob Std: 0.5314, Alpha: 0.9973, Log Alpha: -0.0027
TD Error Mean: 0.0471, TD Error Std: 0.0229, Q1 Loss: 0.0017, Q2 Loss: 0.0006, Policy Loss: -5.3461, Log Prob Mean: -5.3950, Log Prob Std: 0.7524, Alpha: 0.9972, Log Alpha: -0.0028
TD Error Mean: 0.0369, TD Error Std: 0.0205, Q1 Loss: 0.0011, Q2 Loss: 0.0003, Policy Loss: -5.4603, Log Prob Mean: -5.5239, Log Prob Std: 0.6388, Alpha: 0.9971, Log Alpha: -0.0029
TD Error Mean: 0.0222, TD Error Std: 0.0159, Q1 Loss: 0.0005, Q2 Loss: 0.0004, Policy Loss: -5.3371, Log Prob Mean: -5.4163, Log Prob Std: 0.4473, Alpha: 0.9970, Log Alpha: -0.0030
TD Error Mean: 0.0224, TD Error Std: 0.0188, Q1 Loss: 0.0007, Q2 Loss: 0.0006, Policy Loss: -5.2027, Log Prob Mean: -5.2826, Log Prob Std: 0.4513, Alpha: 0.9969, Log Alpha: -0.0031
TD Error Mean: 0.0325, TD Error Std: 0.0240, Q1 Loss: 0.0012, Q2 Loss: 0.0003, Policy Loss: -5.2559, Log Prob Mean: -5.3361, Log Prob Std: 0.4744, Alpha: 0.9968, Log Alpha: -0.0032
TD Error Mean: 0.0402, TD Error Std: 0.0316, Q1 Loss: 0.0019, Q2 Loss: 0.0003, Policy Loss: -5.3389, Log Prob Mean: -5.4354, Log Prob Std: 0.5419, Alpha: 0.9967, Log Alpha: -0.0033
TD Error Mean: 0.0462, TD Error Std: 0.0316, Q1 Loss: 0.0019, Q2 Loss: 0.0003, Policy Loss: -5.3778, Log Prob Mean: -5.4674, Log Prob Std: 0.5660, Alpha: 0.9966, Log Alpha: -0.0034
TD Error Mean: 0.0526, TD Error Std: 0.0316, Q1 Loss: 0.0024, Q2 Loss: 0.0004, Policy Loss: -5.1824, Log Prob Mean: -5.2643, Log Prob Std: 0.5211, Alpha: 0.9965, Log Alpha: -0.0035
TD Error Mean: 0.0364, TD Error Std: 0.0289, Q1 Loss: 0.0013, Q2 Loss: 0.0003, Policy Loss: -5.3515, Log Prob Mean: -5.4195, Log Prob Std: 0.4125, Alpha: 0.9964, Log Alpha: -0.0036
TD Error Mean: 0.0251, TD Error Std: 0.0171, Q1 Loss: 0.0006, Q2 Loss: 0.0003, Policy Loss: -5.4072, Log Prob Mean: -5.4635, Log Prob Std: 0.8233, Alpha: 0.9963, Log Alpha: -0.0037
TD Error Mean: 0.0186, TD Error Std: 0.0141, Q1 Loss: 0.0004, Q2 Loss: 0.0002, Policy Loss: -5.2050, Log Prob Mean: -5.2588, Log Prob Std: 0.4242, Alpha: 0.9962, Log Alpha: -0.0038
TD Error Mean: 0.0195, TD Error Std: 0.0157, Q1 Loss: 0.0005, Q2 Loss: 0.0003, Policy Loss: -5.3736, Log Prob Mean: -5.4160, Log Prob Std: 0.4481, Alpha: 0.9961, Log Alpha: -0.0039
TD Error Mean: 0.0281, TD Error Std: 0.0174, Q1 Loss: 0.0008, Q2 Loss: 0.0003, Policy Loss: -5.3408, Log Prob Mean: -5.3922, Log Prob Std: 0.4151, Alpha: 0.9960, Log Alpha: -0.0040
TD Error Mean: 0.0388, TD Error Std: 0.0229, Q1 Loss: 0.0016, Q2 Loss: 0.0002, Policy Loss: -5.2936, Log Prob Mean: -5.3357, Log Prob Std: 0.3899, Alpha: 0.9959, Log Alpha: -0.0041
TD Error Mean: 0.0303, TD Error Std: 0.0198, Q1 Loss: 0.0009, Q2 Loss: 0.0003, Policy Loss: -5.3209, Log Prob Mean: -5.3754, Log Prob Std: 0.4793, Alpha: 0.9958, Log Alpha: -0.0042
TD Error Mean: 0.0304, TD Error Std: 0.0165, Q1 Loss: 0.0009, Q2 Loss: 0.0002, Policy Loss: -5.5764, Log Prob Mean: -5.6257, Log Prob Std: 0.4771, Alpha: 0.9957, Log Alpha: -0.0043
TD Error Mean: 0.0263, TD Error Std: 0.0155, Q1 Loss: 0.0006, Q2 Loss: 0.0001, Policy Loss: -5.2008, Log Prob Mean: -5.2507, Log Prob Std: 0.4955, Alpha: 0.9956, Log Alpha: -0.0044
TD Error Mean: 0.0201, TD Error Std: 0.0125, Q1 Loss: 0.0004, Q2 Loss: 0.0002, Policy Loss: -5.5121, Log Prob Mean: -5.5700, Log Prob Std: 0.5332, Alpha: 0.9955, Log Alpha: -0.0045
TD Error Mean: 0.0173, TD Error Std: 0.0111, Q1 Loss: 0.0003, Q2 Loss: 0.0002, Policy Loss: -5.3509, Log Prob Mean: -5.4063, Log Prob Std: 0.4876, Alpha: 0.9954, Log Alpha: -0.0046
TD Error Mean: 0.0175, TD Error Std: 0.0120, Q1 Loss: 0.0004, Q2 Loss: 0.0002, Policy Loss: -5.3565, Log Prob Mean: -5.4189, Log Prob Std: 0.4855, Alpha: 0.9953, Log Alpha: -0.0047
TD Error Mean: 0.0179, TD Error Std: 0.0122, Q1 Loss: 0.0004, Q2 Loss: 0.0002, Policy Loss: -5.4575, Log Prob Mean: -5.5200, Log Prob Std: 0.3451, Alpha: 0.9952, Log Alpha: -0.0048
TD Error Mean: 0.0221, TD Error Std: 0.0166, Q1 Loss: 0.0006, Q2 Loss: 0.0001, Policy Loss: -5.4192, Log Prob Mean: -5.4850, Log Prob Std: 0.4698, Alpha: 0.9951, Log Alpha: -0.0049
TD Error Mean: 0.0236, TD Error Std: 0.0143, Q1 Loss: 0.0006, Q2 Loss: 0.0001, Policy Loss: -5.2692, Log Prob Mean: -5.3358, Log Prob Std: 0.4533, Alpha: 0.9950, Log Alpha: -0.0050
TD Error Mean: 0.0211, TD Error Std: 0.0174, Q1 Loss: 0.0005, Q2 Loss: 0.0001, Policy Loss: -5.3986, Log Prob Mean: -5.4615, Log Prob Std: 0.3664, Alpha: 0.9949, Log Alpha: -0.0051
TD Error Mean: 0.0222, TD Error Std: 0.0159, Q1 Loss: 0.0005, Q2 Loss: 0.0001, Policy Loss: -5.4180, Log Prob Mean: -5.4724, Log Prob Std: 0.5635, Alpha: 0.9948, Log Alpha: -0.0052
TD Error Mean: 0.0185, TD Error Std: 0.0126, Q1 Loss: 0.0004, Q2 Loss: 0.0001, Policy Loss: -5.3076, Log Prob Mean: -5.3559, Log Prob Std: 0.3978, Alpha: 0.9947, Log Alpha: -0.0053
TD Error Mean: 0.0150, TD Error Std: 0.0112, Q1 Loss: 0.0003, Q2 Loss: 0.0001, Policy Loss: -5.3283, Log Prob Mean: -5.3841, Log Prob Std: 0.4813, Alpha: 0.9946, Log Alpha: -0.0054
TD Error Mean: 0.0131, TD Error Std: 0.0100, Q1 Loss: 0.0002, Q2 Loss: 0.0001, Policy Loss: -5.3939, Log Prob Mean: -5.4442, Log Prob Std: 0.6690, Alpha: 0.9945, Log Alpha: -0.0055
TD Error Mean: 0.0195, TD Error Std: 0.0106, Q1 Loss: 0.0004, Q2 Loss: 0.0001, Policy Loss: -5.4988, Log Prob Mean: -5.5446, Log Prob Std: 0.4994, Alpha: 0.9944, Log Alpha: -0.0056
TD Error Mean: 0.0232, TD Error Std: 0.0135, Q1 Loss: 0.0005, Q2 Loss: 0.0001, Policy Loss: -5.4546, Log Prob Mean: -5.4893, Log Prob Std: 0.4433, Alpha: 0.9943, Log Alpha: -0.0057
TD Error Mean: 0.0220, TD Error Std: 0.0146, Q1 Loss: 0.0005, Q2 Loss: 0.0001, Policy Loss: -5.4182, Log Prob Mean: -5.4687, Log Prob Std: 0.4363, Alpha: 0.9942, Log Alpha: -0.0058
TD Error Mean: 0.0170, TD Error Std: 0.0123, Q1 Loss: 0.0003, Q2 Loss: 0.0001, Policy Loss: -5.4251, Log Prob Mean: -5.4776, Log Prob Std: 0.5306, Alpha: 0.9941, Log Alpha: -0.0059
TD Error Mean: 0.0163, TD Error Std: 0.0119, Q1 Loss: 0.0003, Q2 Loss: 0.0001, Policy Loss: -5.3658, Log Prob Mean: -5.4175, Log Prob Std: 0.4497, Alpha: 0.9940, Log Alpha: -0.0060
TD Error Mean: 0.0112, TD Error Std: 0.0089, Q1 Loss: 0.0002, Q2 Loss: 0.0000, Policy Loss: -5.4262, Log Prob Mean: -5.4850, Log Prob Std: 0.5088, Alpha: 0.9939, Log Alpha: -0.0061
TD Error Mean: 0.0124, TD Error Std: 0.0087, Q1 Loss: 0.0002, Q2 Loss: 0.0000, Policy Loss: -5.3012, Log Prob Mean: -5.3610, Log Prob Std: 0.4460, Alpha: 0.9938, Log Alpha: -0.0062
TD Error Mean: 0.0133, TD Error Std: 0.0103, Q1 Loss: 0.0002, Q2 Loss: 0.0001, Policy Loss: -5.3641, Log Prob Mean: -5.4199, Log Prob Std: 0.5064, Alpha: 0.9937, Log Alpha: -0.0063
TD Error Mean: 0.0166, TD Error Std: 0.0127, Q1 Loss: 0.0003, Q2 Loss: 0.0001, Policy Loss: -5.2038, Log Prob Mean: -5.2608, Log Prob Std: 0.6034, Alpha: 0.9936, Log Alpha: -0.0064
